_id,productName,productPrice,productDescription,productCategory,productImageUrl,createdAt,__v,tags
66c4851a6bb43ff18f854d84,Tshirt,500,Black Tshirt,Top,https://res.cloudinary.com/dtxxty1ns/image/upload/v1724155077/products/wbaxrtpajrjd8jcq3dzz.webp,2024-08-20 11:59:22.165,0,"['summer', 'men', 'black', 'top', 'casual']"
66c4851a6bb43ff18f854d8d,Sweater,500,Blue Sweater,Top,https://res.cloudinary.com/dtxxty1ns/image/upload/v1724155431/products/baoz5spk2mcew0y1ue2x.png,2024-08-20 11:59:22.873,0,"['winter', 'men', 'blue', 'top', 'casual']"
66c485a06bb43ff18f855047,Hoodie,999,Orange Hoodie Made by Fibre,Top,https://res.cloudinary.com/dtxxty1ns/image/upload/v1724155211/products/zjdwkduust7sg499qkqy.png,2024-08-20 12:01:36.611,0,"['winter', 'men', 'top', 'orange']"
66c486c76bb43ff18f8554b7,Jordan,6000,Jordan,Footwear,https://res.cloudinary.com/dtxxty1ns/image/upload/v1724155505/products/h0m3wjexvcvnrhonk1pg.png,2024-08-20 12:06:31.108,0,"['footwear', 'men', 'shoes', 'casual']"
66c4876d6bb43ff18f8556b6,Grey Hoodie,3000,Grey Hoodie,Top,https://res.cloudinary.com/dtxxty1ns/image/upload/v1724155672/products/hdfbwmbdbwzg1izklpd4.png,2024-08-20 12:09:17.682,0,"['winter', 'casual', 'top']"
66c48c2b6bb43ff18f8564c7,Jeans Pant,1000,Jeans,Bottom,https://res.cloudinary.com/dtxxty1ns/image/upload/v1724156886/products/xzv33b2gjwsxtqzora3u.png,2024-08-20 12:29:31.849,0,"['bottom', 'jeans', 'casual']"
66c48c4a6bb43ff18f8565d5,Blue Tshirt,1500,Tshirt,Top,https://res.cloudinary.com/dtxxty1ns/image/upload/v1724156917/products/ywowrnkdedcv8pmzsuna.png,2024-08-20 12:30:02.314,0,"['top', 'summer', 'casual']"
66c48c946bb43ff18f856772,Khaki Pant,1500,Khaki,Bottom,https://res.cloudinary.com/dtxxty1ns/image/upload/v1724156988/products/bftkqo5yjuhduvhadbof.png,2024-08-20 12:31:16.106,0,"['formal', 'bottom', 'bottom']"
66c48c9f6bb43ff18f8567eb,Blue Sweater Cotton,2000,Sweater,Top,https://res.cloudinary.com/dtxxty1ns/image/upload/v1724157003/products/gfpmpqju1pu4iqvk71rx.png,2024-08-20 12:31:27.978,0,"['casual', 'top']"
66c48d0e6bb43ff18f856a3e,Brown Leather,3000,Leather,Footwear,https://res.cloudinary.com/dtxxty1ns/image/upload/v1724157112/products/urbppsgnmgm1cw8v387i.png,2024-08-20 12:33:18.093,0,"['leather', 'footwear', 'formal']"
66c48d246bb43ff18f856b1c,Black Leather,3000,Leather,Footwear,https://res.cloudinary.com/dtxxty1ns/image/upload/v1724157134/products/dlcqtmm6qkilbqczf1eg.png,2024-08-20 12:33:40.122,0,"['formal', 'leather', 'footwear']"
66c48d286bb43ff18f856b47,Black Leather,3500,Leather,Footwear,https://res.cloudinary.com/dtxxty1ns/image/upload/v1724157139/products/ykxamydpgqca0mfmpahl.png,2024-08-20 12:33:44.218,0,"['leather', 'formal', 'footwear']"
66c48f176bb43ff18f857fc3,Tshirt,1200,Red Tshirt,Top,https://res.cloudinary.com/dtxxty1ns/image/upload/v1724157633/products/y4jkwox2mge2vpyauqmn.png,2024-08-20 12:41:59.501,0,"['summer', 'casual', 'top']"
66c48f186bb43ff18f857fc7,Red Polo Tshirt,1200,Red Tshirt,Top,https://res.cloudinary.com/dtxxty1ns/image/upload/v1724157635/products/wxuars4rheedweeb97ir.png,2024-08-20 12:42:00.565,0,"['formal', 'top', 'summer']"
66c48f526bb43ff18f858190,Green Sandal,1500,Sandal,Footwear,https://res.cloudinary.com/dtxxty1ns/image/upload/v1724157692/products/efz8jnqqpsrpsi76qgiq.png,2024-08-20 12:42:58.120,0,"['casual', 'footwear', 'casual']"
66c48f5d6bb43ff18f8581b9,Brown Sandal,1500,Sandal,Footwear,https://res.cloudinary.com/dtxxty1ns/image/upload/v1724157703/products/blsk5ftowhpfgrfks9ip.png,2024-08-20 12:43:09.373,0,"['formal', 'footwear']"
